,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.656613924051,0.585124553716,0.488221356702,0.689481499513,0.7302969815
chromosome_20,0.7302969815,0.638473304122,0.609450665368,0.472997809153,0.723902547874,0.7302969815
chromosome_15,0.7302969815,0.645010954236,0.596728334956,0.515096153846,0.722621308017,0.7302969815
chromosome_10,0.7302969815,0.675426403765,0.605688088283,0.481970545278,0.703551200909,0.7302969815
chromosome_12,0.7302969815,0.661419993509,0.609598344693,0.523957319052,0.716372119442,0.7302969815
chromosome_19,0.7302969815,0.67831101915,0.587834712756,0.464375608569,0.727732878935,0.7302969815
chromosome_8,0.7302969815,0.669192632262,0.592784810127,0.577577896787,0.690891350211,0.7302969815
chromosome_4,0.7302969815,0.672878123986,0.589034404414,0.518812074002,0.68701273937,0.7302969815
chromosome_16,0.7302969815,0.656756329114,0.628650194742,0.451604592665,0.70720464135,0.7302969815
chromosome_5,0.7302969815,0.670537974684,0.565863356053,0.48945431678,0.672911392405,0.7302969815
chromosome_13,0.7302969815,0.682095098994,0.584357757222,0.567465920156,0.704897760467,0.7302969815
chromosome_Y,0.7302969815,0.665203261928,0.596886157092,0.685731499513,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.663984501785,0.612209509899,0.536793654658,0.706115303473,0.7302969815
chromosome_21,0.7302969815,0.643745942876,0.619756572541,0.549468516715,0.727764930217,0.7302969815
chromosome_7,0.7302969815,0.688390538786,0.58927742616,0.496026046738,0.701067023694,0.7302969815
chromosome_17,0.7302969815,0.681884939955,0.564805258033,0.479278643298,0.717669182084,0.7302969815
chromosome_X,0.7302969815,0.656404576436,0.592481742941,0.451538461538,0.700810613437,0.7302969815
chromosome_1,0.7302969815,0.684513145083,0.601871145732,0.494550876339,0.686917396949,0.7302969815
chromosome_18,0.7302969815,0.659063615709,0.569790246673,0.572448880234,0.713775965596,0.7302969815
chromosome_3,0.7302969815,0.651292599805,0.600510386238,0.537994563453,0.680715676728,0.7302969815
chromosome_2,0.7302969815,0.673006329114,0.62465960727,0.483253002272,0.681885751379,0.7302969815
chromosome_9,0.7302969815,0.661452044791,0.593121551444,0.516216731581,0.701051606621,0.7302969815
chromosome_22,0.7302969815,0.669112706913,0.576552661474,0.478268825057,0.727749107433,0.7302969815
chromosome_11,0.7302969815,0.678039597533,0.628632749107,0.516329519636,0.693278967868,0.7302969815
