,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.665443443687,0.63842461863,0.571022395326,0.782314995131,0.782314995131
chromosome_20,0.7302969815,0.657719084713,0.596791220383,0.606758763389,0.740488883479,0.740488883479
chromosome_15,0.7302969815,0.664081061344,0.592880152548,0.62703099643,0.750585037326,0.750585037326
chromosome_10,0.7302969815,0.689578059072,0.611872362869,0.652881369685,0.761979470951,0.761979470951
chromosome_12,0.7302969815,0.671628123986,0.638681840312,0.641390782214,0.7684530185,0.7684530185
chromosome_19,0.7302969815,0.701146949043,0.587784810127,0.602799415774,0.727764930217,0.7302969815
chromosome_8,0.7302969815,0.675779779292,0.601710077897,0.623395001623,0.75185086011,0.75185086011
chromosome_4,0.7302969815,0.679802418046,0.614546413502,0.628408795846,0.776000486855,0.776000486855
chromosome_16,0.7302969815,0.657494725738,0.579036027264,0.604227523531,0.743021340474,0.743021340474
chromosome_5,0.7302969815,0.668071648815,0.602800632911,0.588073677377,0.764590230445,0.764590230445
chromosome_13,0.7302969815,0.691082846478,0.623698880234,0.660430055177,0.763405144434,0.763405144434
chromosome_Y,0.7302969815,0.648922022071,0.59288218111,0.707429000325,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.699720058423,0.611953099643,0.605701882506,0.735377718273,0.735377718273
chromosome_21,0.7302969815,0.652863924051,0.627270772476,0.637415206102,0.725201233366,0.7302969815
chromosome_7,0.7302969815,0.706082846478,0.594067672833,0.596742940604,0.762123498864,0.762123498864
chromosome_17,0.7302969815,0.676949042519,0.591904008439,0.614628367413,0.749462836741,0.749462836741
chromosome_X,0.7302969815,0.66151695878,0.6347062642,0.553392973061,0.758260710808,0.758260710808
chromosome_1,0.7302969815,0.66042721519,0.601648003895,0.606936059721,0.77596965271,0.77596965271
chromosome_18,0.7302969815,0.67432083739,0.587817267121,0.642801444336,0.727814427134,0.7302969815
chromosome_3,0.7302969815,0.683054608893,0.637495537163,0.602977523531,0.776128691983,0.776128691983
chromosome_2,0.7302969815,0.679657578708,0.614661635833,0.590332684193,0.781305582603,0.781305582603
chromosome_9,0.7302969815,0.667813209997,0.615814264849,0.60060410581,0.750745293736,0.750745293736
chromosome_22,0.7302969815,0.682158390133,0.632527182733,0.55076598507,0.732893135346,0.732893135346
chromosome_11,0.7302969815,0.701147354755,0.62451436222,0.641469490425,0.749270934761,0.749270934761
